factor,AME_pp,SE_pp,z,p,lower,upper
fertility,11.61,1.65,7.0270619987951095,0,0.083745941798663,0.1485321485446156
health_exp,-2.2,0.72,-3.0397298046312593,0.0024,-0.0362060157666199,-0.007819282531092608
log_gdp_pc,-5.74,2.31,-2.4833549429844233,0.013,-0.10273845702155515,-0.012101850073491315
urban_pct,0.21,0.11,1.9832655402321226,0.0473,2.4867504993779464e-5,0.004208228892299531
