iso3,intercept_dev,slope_dev,total_slope,total_slope_per_decade,region_who,dtp3_2000,dtp3_2023
BOL,7.796,-0.55,-0.548,-5.479,AMRO,74.333,68.667
FSM,-3.279,-0.553,-0.551,-5.511,WPRO,81.333,73.333
MKD,11.219,-0.57,-0.568,-5.676,EURO,94,83.667
PER,12.107,-0.632,-0.63,-6.301,AMRO,94.333,82.667
MDA,12.362,-0.65,-0.648,-6.483,EURO,96.333,87.333
MMR,9.813,-0.674,-0.672,-6.717,SEARO,78,59.667
GRD,6.543,-0.692,-0.69,-6.905,AMRO,97,80
VEN,-4.511,-0.695,-0.693,-6.93,AMRO,NA,51
ARG,7.707,-0.702,-0.7,-6.997,AMRO,86.333,77
DMA,13.485,-0.705,-0.703,-7.026,AMRO,98.667,76.667
VNM,11.844,-0.705,-0.703,-7.031,WPRO,89,79.667
PRY,9.71,-0.758,-0.756,-7.562,AMRO,87.333,70
HND,18.507,-0.763,-0.761,-7.612,AMRO,95,76
BIH,3.566,-0.801,-0.799,-7.989,EURO,85.333,74.667
MEX,12.57,-0.89,-0.888,-8.881,AMRO,97,82
LBY,14.497,-0.896,-0.894,-8.944,EMRO,93.667,73
ROU,10.582,-0.935,-0.933,-9.326,EURO,98.667,83.333
MNE,14.928,-1.002,-1,-9.997,EURO,NA,81.333
ECU,10.044,-1.008,-1.006,-10.062,AMRO,88,70.667
PAN,7.837,-1.102,-1.1,-10.995,AMRO,98.667,80
SYR,8.472,-1.102,-1.1,-10.999,EMRO,85,60
BRA,16.757,-1.106,-1.104,-11.04,AMRO,98.333,78.333
DJI,15.656,-1.164,-1.162,-11.62,EMRO,NA,63.333
AZE,0.876,-1.177,-1.175,-11.746,EURO,76.333,50.333
PNG,-14.798,-1.567,-1.565,-15.648,WPRO,58.333,34.667
UKR,16.438,-2.302,-2.3,-23.004,EURO,99,78
